tale,num_chunks,total_chars,distilroberta_top_emotion,distilroberta_top_score,distilroberta_all_emotions,go_emotions_top_emotion,go_emotions_top_score,go_emotions_all_emotions,twitter_emotion_top_emotion,twitter_emotion_top_score,twitter_emotion_all_emotions
"""Beautiful""",10,13982,disgust,0.3735875812591985,"{'disgust': 0.3735875812591985, 'joy': 0.2780903189443052, 'neutral': 0.1473417529836297, 'sadness': 0.08400292191654443, 'surprise': 0.05059283734299243, 'anger': 0.04983887909911573, 'fear': 0.01654571818653494}",admiration,0.3296721667284146,"{'admiration': 0.3296721667284146, 'neutral': 0.21356184100732206, 'approval': 0.14249253123998643, 'love': 0.11402599654975347, 'disappointment': 0.06431162068620325, 'sadness': 0.049496910092420875, 'embarrassment': 0.0461310988466721, 'curiosity': 0.03601740169106051, 'annoyance': 0.031025317683815955, 'realization': 0.03028254332020879, 'disapproval': 0.026256914273835717, 'joy': 0.022874550148844718, 'excitement': 0.022099896625149995, 'confusion': 0.01702110101468861, 'optimism': 0.009669909463264048, 'amusement': 0.007672138424823061, 'surprise': 0.006412577151786536, 'disgust': 0.006191307754488662, 'caring': 0.006186645198613405, 'fear': 0.005104518932057545, 'relief': 0.004543921659933403, 'nervousness': 0.0044998898985795675, 'pride': 0.0037768089678138494, 'desire': 0.003270877676550299, 'grief': 0.0028821331943618134, 'anger': 0.002498407004168257, 'remorse': 0.0023214204222313127, 'gratitude': 0.001643882734060753}",joy,0.8700390860438347,"{'joy': 0.8700390860438347, 'optimism': 0.4081051954999566, 'love': 0.31567296232096853, 'sadness': 0.1387121981009841, 'anticipation': 0.13439748138189317, 'surprise': 0.0759422842413187, 'trust': 0.067486712615937, 'disgust': 0.038446441479027274, 'fear': 0.03710960750468075, 'pessimism': 0.03402981250546873, 'anger': 0.01158380820415914}"
"""Dance, dance, doll of mine!""",3,1975,neutral,0.6376737505197525,"{'neutral': 0.6376737505197525, 'disgust': 0.1183068969597419, 'anger': 0.1030147314692537, 'joy': 0.07745917762319247, 'surprise': 0.03974289198716482, 'sadness': 0.013422785559669137, 'fear': 0.010379740037024021}",neutral,0.6355198522408804,"{'neutral': 0.6355198522408804, 'approval': 0.17176383485396704, 'realization': 0.07137935484449069, 'admiration': 0.058066477067768574, 'amusement': 0.03162438690196723, 'joy': 0.02407431152338783, 'annoyance': 0.01368101950113972, 'disapproval': 0.0075280088155219955, 'excitement': 0.00546109932474792, 'optimism': 0.004851360184450944, 'disappointment': 0.0037889929953962564, 'love': 0.0028838978614658117, 'relief': 0.002777043574800094, 'confusion': 0.0027468655413637557, 'pride': 0.00273763743462041, 'surprise': 0.001994923804886639, 'gratitude': 0.0014939935451063018, 'curiosity': 0.0012877533833185832, 'caring': 0.0012321643298491836, 'disgust': 0.0011294898383008938, 'sadness': 0.0010229665009925764, 'desire': 0.001002392692801853, 'anger': 0.0009739092298938582, 'embarrassment': 0.0008432918984908611, 'fear': 0.0005807078559882939, 'nervousness': 0.00042283168295398355, 'grief': 0.0003870833315886557, 'remorse': 0.00034728015210324276}",joy,0.7384125391642252,"{'joy': 0.7384125391642252, 'optimism': 0.6451529860496521, 'love': 0.20042109489440918, 'anticipation': 0.17074857155481973, 'trust': 0.15855531146128973, 'surprise': 0.061343912656108536, 'fear': 0.019333081009487312, 'sadness': 0.012094834819436073, 'disgust': 0.011378354082504908, 'pessimism': 0.00942131799335281, 'anger': 0.006742844668527444}"
"""Something""",10,14575,disgust,0.2804230093955994,"{'disgust': 0.2804230093955994, 'neutral': 0.23695803126320242, 'fear': 0.19034886041190474, 'anger': 0.10431407161522657, 'sadness': 0.09731015916913748, 'joy': 0.053323484875727446, 'surprise': 0.03732234938070178}",neutral,0.43395897895097735,"{'neutral': 0.43395897895097735, 'approval': 0.10530583169311285, 'curiosity': 0.0979514508129796, 'sadness': 0.0865569916786626, 'admiration': 0.0554511062335223, 'optimism': 0.05055277394130826, 'disappointment': 0.04963337196968496, 'disapproval': 0.03326611751690507, 'realization': 0.028131254110485317, 'confusion': 0.02353509367676452, 'nervousness': 0.01958920754841529, 'annoyance': 0.014480318408459425, 'joy': 0.013126341189490631, 'fear': 0.011501307069556788, 'desire': 0.011124516336712987, 'caring': 0.010128151485696435, 'relief': 0.0051814065664075315, 'excitement': 0.0050660161068663, 'surprise': 0.004261642365599982, 'grief': 0.0035717213759198785, 'remorse': 0.0019203741161618383, 'love': 0.0019034949131309987, 'anger': 0.0018999637686647475, 'disgust': 0.0015632549184374511, 'embarrassment': 0.0015029635251266882, 'pride': 0.001364854257553816, 'amusement': 0.0011337629897752778, 'gratitude': 0.0009950845444109291}",optimism,0.45006763488054274,"{'optimism': 0.45006763488054274, 'anticipation': 0.4102187350392342, 'joy': 0.3843996986746788, 'sadness': 0.11154352389276027, 'fear': 0.09198329922510311, 'trust': 0.07562424913048744, 'pessimism': 0.05136828478425741, 'surprise': 0.04643040364608168, 'disgust': 0.03892795741558075, 'anger': 0.017175039206631482, 'love': 0.009284076187759638}"
A cheerful temper,7,8386,joy,0.3630007484794727,"{'joy': 0.3630007484794727, 'sadness': 0.22842020052485168, 'anger': 0.14858889157351637, 'neutral': 0.1360234690031835, 'disgust': 0.10291698052813965, 'surprise': 0.014859766050774072, 'fear': 0.00618997317256539}",neutral,0.6160786598920822,"{'neutral': 0.6160786598920822, 'approval': 0.08123272045382432, 'sadness': 0.0579290387686342, 'admiration': 0.05386237550659904, 'curiosity': 0.04716559055460883, 'disappointment': 0.03353017628458994, 'realization': 0.02451803082866328, 'joy': 0.023395001738598303, 'confusion': 0.020112362074931816, 'annoyance': 0.01565597445837089, 'disapproval': 0.013074798343170966, 'optimism': 0.012470338360539504, 'relief': 0.006502823862579784, 'caring': 0.006447531482470887, 'nervousness': 0.0046005190275276876, 'excitement': 0.004355492685655398, 'amusement': 0.0031298245719101813, 'grief': 0.0024527349326360437, 'surprise': 0.002207683174804385, 'fear': 0.002199259910932077, 'desire': 0.002002689355452146, 'pride': 0.0016836388136393257, 'anger': 0.0014695930377846317, 'disgust': 0.0013154618375535523, 'embarrassment': 0.0010806879352977766, 'remorse': 0.0008688718787327941, 'gratitude': 0.0008612301254678252, 'love': 0.0008589686850817608}",joy,0.3806112664086478,"{'joy': 0.3806112664086478, 'optimism': 0.3369594466473375, 'sadness': 0.2452655051435743, 'anticipation': 0.20566930728299276, 'disgust': 0.12902134151331016, 'pessimism': 0.0867187689457621, 'anger': 0.042331117670983076, 'surprise': 0.025806928984820843, 'trust': 0.02094842041177409, 'fear': 0.005934724484437278, 'love': 0.004714936583435961}"
A leaf from heaven,5,5931,sadness,0.6243175396695733,"{'sadness': 0.6243175396695733, 'disgust': 0.250143114849925, 'neutral': 0.05253456868231297, 'joy': 0.042569343978539106, 'anger': 0.02065555677982047, 'surprise': 0.005850115604698658, 'fear': 0.003929733345285058}",sadness,0.3596737682586536,"{'sadness': 0.3596737682586536, 'neutral': 0.31122339963912965, 'admiration': 0.0921954239718616, 'disappointment': 0.0703674964606762, 'approval': 0.04817577227950096, 'annoyance': 0.027886191196739674, 'realization': 0.0259976789355278, 'amusement': 0.020842167199589312, 'disapproval': 0.0162614275701344, 'joy': 0.016071727126836778, 'caring': 0.015385415637865663, 'grief': 0.010110079741571099, 'relief': 0.007311743358150125, 'gratitude': 0.006943607510766015, 'optimism': 0.005005833646282554, 'remorse': 0.003387101017870009, 'pride': 0.0030193579150363803, 'confusion': 0.002802326111122966, 'curiosity': 0.0027342129091266544, 'nervousness': 0.0024664765689522026, 'anger': 0.00232388349249959, 'desire': 0.0023213263601064684, 'love': 0.0022836401825770737, 'disgust': 0.0022420529974624516, 'excitement': 0.0020478499587625264, 'embarrassment': 0.0017629006877541542, 'fear': 0.001413193845655769, 'surprise': 0.0012711093993857503}",joy,0.5631391778588295,"{'joy': 0.5631391778588295, 'sadness': 0.5239860795438289, 'optimism': 0.48280676603317263, 'pessimism': 0.14562503537163138, 'anticipation': 0.12110216990113258, 'trust': 0.03739809188991785, 'disgust': 0.030537426471710205, 'surprise': 0.01945424946025014, 'love': 0.015548736415803432, 'fear': 0.008993045892566442, 'anger': 0.008663548389449716}"
A picture from the ramparts,3,1979,joy,0.46517883194610476,"{'joy': 0.46517883194610476, 'neutral': 0.21043615539868674, 'sadness': 0.1694768484060963, 'disgust': 0.1306739867043992, 'anger': 0.011627763664970795, 'fear': 0.008606358586500088, 'surprise': 0.004000103644405802}",neutral,0.5843908886114756,"{'neutral': 0.5843908886114756, 'admiration': 0.29804567402849597, 'approval': 0.14465575168530145, 'realization': 0.012972338435550531, 'caring': 0.012252006097696722, 'optimism': 0.010103945697968205, 'disappointment': 0.009237189233923951, 'annoyance': 0.009038885434468588, 'joy': 0.007495713109771411, 'excitement': 0.006571690396716197, 'pride': 0.005102166517948111, 'sadness': 0.004893552744761109, 'disapproval': 0.004324312632282575, 'gratitude': 0.0036452325778858117, 'fear': 0.0028709109562138715, 'relief': 0.002696626897280415, 'disgust': 0.002394498927363505, 'desire': 0.0021251540165394545, 'love': 0.0018013175576925278, 'anger': 0.0010381971369497478, 'amusement': 0.0009578224271535873, 'nervousness': 0.000858098811780413, 'confusion': 0.0007920767141816517, 'curiosity': 0.0007428090902976692, 'embarrassment': 0.0006700378726236522, 'surprise': 0.0006345419484811524, 'grief': 0.0005703587570072463, 'remorse': 0.0003036448809628685}",joy,0.7281658550103506,"{'joy': 0.7281658550103506, 'optimism': 0.48106225828329724, 'anticipation': 0.2139191875855128, 'trust': 0.026358843160172302, 'disgust': 0.02338024585818251, 'love': 0.018198488435397547, 'surprise': 0.018173372993866604, 'sadness': 0.017454668258627255, 'pessimism': 0.011287716217339039, 'anger': 0.010059474656979242, 'fear': 0.006017099134624004}"
A rose from Homer's grave,4,2569,disgust,0.3751249238848686,"{'disgust': 0.3751249238848686, 'neutral': 0.28651653230190277, 'sadness': 0.22479801904410124, 'fear': 0.06250927224755287, 'surprise': 0.028016346041113138, 'anger': 0.014695824240334332, 'joy': 0.008339083520695567}",neutral,0.6836896762251854,"{'neutral': 0.6836896762251854, 'admiration': 0.26775232271756977, 'approval': 0.024414443410933018, 'joy': 0.01811282738344744, 'realization': 0.011195947998203337, 'sadness': 0.0104832953074947, 'love': 0.0077882560435682535, 'excitement': 0.007350136700551957, 'disappointment': 0.00660901318769902, 'annoyance': 0.004453107423614711, 'pride': 0.003807365064858459, 'optimism': 0.0035503272083587945, 'desire': 0.0027394331409595907, 'caring': 0.0026116431108675897, 'amusement': 0.0022962302900850773, 'disapproval': 0.00199224243988283, 'gratitude': 0.0019288875919301063, 'fear': 0.0017935193463927135, 'relief': 0.0017285849462496117, 'disgust': 0.0017204999167006463, 'surprise': 0.0016958536871243268, 'grief': 0.001598415881744586, 'confusion': 0.0013201718538766727, 'anger': 0.0011591913789743558, 'curiosity': 0.0010088498529512435, 'embarrassment': 0.0008335242746397853, 'nervousness': 0.0006384377411450259, 'remorse': 0.0005690971884177998}",joy,0.9142539501190186,"{'joy': 0.9142539501190186, 'optimism': 0.3962177634239197, 'love': 0.25448109209537506, 'anticipation': 0.15343668684363365, 'sadness': 0.11625110357999802, 'trust': 0.05954351928085089, 'surprise': 0.04506379924714565, 'pessimism': 0.012845359044149518, 'fear': 0.006466092658229172, 'disgust': 0.004447303304914385, 'anger': 0.002054640033748001}"
A story,7,9336,fear,0.3303103879360216,"{'fear': 0.3303103879360216, 'disgust': 0.2230626381933689, 'joy': 0.2197665488846334, 'anger': 0.1472797949931451, 'sadness': 0.04759156331419945, 'neutral': 0.02249486238828727, 'surprise': 0.009494208132049866}",neutral,0.5128510998828071,"{'neutral': 0.5128510998828071, 'love': 0.12359965714858845, 'sadness': 0.05980218966890659, 'approval': 0.05727578034358365, 'fear': 0.05116900219582021, 'disappointment': 0.04471737525558898, 'caring': 0.036391078993412, 'admiration': 0.032625749175037654, 'joy': 0.027687066534001912, 'annoyance': 0.027323339067931687, 'realization': 0.019627952815166542, 'disapproval': 0.01775026645710958, 'curiosity': 0.014470274743091847, 'confusion': 0.011831387428433768, 'excitement': 0.010600842901372485, 'nervousness': 0.009366740738706929, 'anger': 0.0076329035218805075, 'optimism': 0.006240317365154624, 'disgust': 0.005678294492619378, 'desire': 0.0049995486125616094, 'relief': 0.0043464015470817685, 'pride': 0.00419014975029443, 'grief': 0.003718568486095007, 'embarrassment': 0.0028694503125734627, 'surprise': 0.002855166019539216, 'remorse': 0.001842239173129201, 'amusement': 0.0012639707918944104, 'gratitude': 0.001161384695608701}",joy,0.42744679496224436,"{'joy': 0.42744679496224436, 'optimism': 0.41290543348129305, 'love': 0.2645190610284252, 'disgust': 0.20681200568963373, 'sadness': 0.18338533131671803, 'anger': 0.16829794592091016, 'fear': 0.12293152723993574, 'trust': 0.0880909737399114, 'anticipation': 0.06611165989722524, 'pessimism': 0.05685215363545077, 'surprise': 0.012859531944351537}"
A story from the sand dunes,41,72383,disgust,0.29477370966498445,"{'disgust': 0.29477370966498445, 'sadness': 0.1631762915711123, 'anger': 0.1582858002880906, 'neutral': 0.13467998569263373, 'fear': 0.12436782581825377, 'joy': 0.08702669647045252, 'surprise': 0.03768969604336634}",neutral,0.5172014198288685,"{'neutral': 0.5172014198288685, 'sadness': 0.1167005561945233, 'admiration': 0.09709184007185352, 'approval': 0.09548285723913734, 'joy': 0.054652017477343266, 'realization': 0.04127349066207322, 'disappointment': 0.03654644295868532, 'curiosity': 0.030246528457898488, 'fear': 0.017915204201438804, 'caring': 0.01428335360194579, 'optimism': 0.011906160944618466, 'excitement': 0.010531073508545666, 'confusion': 0.010422097303245852, 'annoyance': 0.009996042535753875, 'relief': 0.008966973290648085, 'disapproval': 0.008636825059245273, 'love': 0.00541115348105228, 'nervousness': 0.005027081777636961, 'grief': 0.004961712698298847, 'pride': 0.0045951028700872525, 'surprise': 0.0036953296980866026, 'desire': 0.00336888609113308, 'disgust': 0.0022526129635857283, 'remorse': 0.001887430534868433, 'amusement': 0.0017642118874369415, 'gratitude': 0.0016627519837972458, 'anger': 0.0014693384376786103, 'embarrassment': 0.001399538481165087}",joy,0.5337907194568798,"{'joy': 0.5337907194568798, 'optimism': 0.34660520229670333, 'sadness': 0.24632046458583962, 'anticipation': 0.1824361683755386, 'fear': 0.09166400370233488, 'love': 0.0697901786174398, 'pessimism': 0.053190739382421824, 'disgust': 0.050370736524644424, 'surprise': 0.029458858481631045, 'trust': 0.029052065656997444, 'anger': 0.028492315183961538}"
A string of pearls,9,11528,joy,0.5607760317830576,"{'joy': 0.5607760317830576, 'neutral': 0.26448290577779215, 'surprise': 0.05329091386455628, 'anger': 0.03705624581521584, 'disgust': 0.036546250895804, 'fear': 0.02423294501689573, 'sadness': 0.023614723183628585}",admiration,0.2924006836385363,"{'admiration': 0.2924006836385363, 'neutral': 0.20185050244132677, 'joy': 0.17515793886397862, 'approval': 0.1319922539922926, 'optimism': 0.12116543961585396, 'excitement': 0.09680600161664188, 'curiosity': 0.07050967894287573, 'desire': 0.03897474875621912, 'confusion': 0.024822039956537385, 'realization': 0.016598503571003675, 'caring': 0.014486502028173871, 'relief': 0.014468057714920077, 'pride': 0.009258812577981088, 'disapproval': 0.008257840307325952, 'surprise': 0.00661917664628062, 'love': 0.006603703368455172, 'gratitude': 0.005753078428420445, 'annoyance': 0.004397814433711271, 'disappointment': 0.003664620350011521, 'amusement': 0.0024173898240810055, 'sadness': 0.002188806118081427, 'nervousness': 0.0018715532237870826, 'fear': 0.0013899410065884392, 'anger': 0.0009547097757199986, 'grief': 0.0008057758160349396, 'disgust': 0.0007201855769380927, 'embarrassment': 0.0005461268818988982, 'remorse': 0.0004666105895820591}",joy,0.9574110243055556,"{'joy': 0.9574110243055556, 'optimism': 0.7630647752020094, 'anticipation': 0.3365375730726454, 'trust': 0.08292147517204285, 'love': 0.079367745667696, 'surprise': 0.045709465733832784, 'sadness': 0.02576057468023565, 'fear': 0.011451080208644271, 'pessimism': 0.00778206323997842, 'disgust': 0.005792857147753239, 'anger': 0.0033603241511931023}"
