tale,chunk_id,text_preview,token_count,distilroberta_emotion,distilroberta_score,go_emotions_emotion,go_emotions_score,twitter_emotion_emotion,twitter_emotion_score
"""Beautiful""",0,"Alfred the sculptor - yes, you know him, don't you? We all know him; he was awarded the gold medal, traveled to Italy, and came home again. He was you...",480,disgust,0.5454650521278381,neutral,0.2836882174015045,joy,0.9889919757843018
"""Beautiful""",1,"How does the city look when you come in by the gate?"" ""It is not easy to describe it,"" said the young sculptor. ""There's a great open place, and in th...",483,joy,0.35988128185272217,admiration,0.43539637327194214,joy,0.978249192237854
"""Beautiful""",2,"You Mr. Alfred, must be our guide. We'll all three go, with just one or two good friends with us."" Then she smiled in such a friendly manner at the co...",499,disgust,0.5052012801170349,neutral,0.2512594163417816,joy,0.9534061551094055
"""Beautiful""",3,"But isn't it dangerous for the people who live there?"" ""Entire cities have been destroyed,"" he answered. ""For example, Pompeii and Herculaneum."" ""Oh, ...",478,disgust,0.540081262588501,neutral,0.3513610064983368,joy,0.8183265328407288
"""Beautiful""",4,"""I suppose it's only for us that you do this common work,"" said Mamma-in-law-to- be, ""and don't have your servant do all that dabbing together."" ""No, ...",509,disgust,0.5210708379745483,neutral,0.6558930277824402,joy,0.9829864501953125
"""Beautiful""",5,"Mamma- in-law went with them, ""to give them a helping hand,"" she explained-which meant to take charge of the house. Kala was to live in a doll's house...",487,disgust,0.6460138559341431,embarrassment,0.44367271661758423,joy,0.8969231247901917
"""Beautiful""",6,"I found the time dragged, even though I had my children with me; and it is expensive, very expensive, to travel. All those galleries you have to see, ...",509,disgust,0.7835558652877808,approval,0.3196219205856323,sadness,0.9625420570373535
"""Beautiful""",7,"""Yes, that's what the wedding song said. I really fell in love with a beautiful statue, which came to life in my arms, but the soul mate that heaven s...",265,joy,0.5460935235023499,admiration,0.46114325523376465,joy,0.9684878587722778
"""Beautiful""",8,"In the next world, where there is no marriage, but where, as you say, souls find each other through sympathy, where everything beautiful is developed ...",74,joy,0.9147712588310242,admiration,0.8389133214950562,joy,0.9851105213165283
"""Beautiful""",9,"Then you will again utter the first exciting cry of your love, 'Beautiful, beautiful!'""",21,joy,0.8376036286354065,admiration,0.8094109296798706,joy,0.989069402217865
"""Dance, dance, doll of mine!""",0,"""Yes, this is a song for very small children!"" declared Aunt Malle. ""As much as I should like to, I cannot follow this 'Dance, Dance, Doll of Mine!'"" ...",504,disgust,0.31307172775268555,neutral,0.450592964887619,joy,0.9941944479942322
"""Dance, dance, doll of mine!""",1,She sings it. It is from her that we know it.,15,neutral,0.8122537732124329,neutral,0.6336655616760254,joy,0.9375802278518677
"""Dance, dance, doll of mine!""",2,It is from her that we know it.,11,neutral,0.9196109175682068,neutral,0.8223010301589966,optimism,0.3951696753501892
"""Something""",0,"""I mean to be somebody, and do something useful in the world,"" said the eldest of five brothers. ""I don't care how humble my position is, so that I ca...",478,disgust,0.48936501145362854,neutral,0.36662566661834717,anticipation,0.7191154360771179
"""Something""",1,"Then I shall enter the academy, and get instructed in drawing, and be called an architect. I may even attain to rank, and have something placed before...",420,neutral,0.5994079113006592,approval,0.2904898226261139,anticipation,0.7704961895942688
"""Something""",2,"Were they each nothing or something? You shall hear; it is quite a history. The eldest brother, he who fabricated bricks, soon discovered that each br...",504,joy,0.4613438546657562,neutral,0.5879230499267578,joy,0.6722457408905029
"""Something""",3,"There's a loved one at home who thinks of me; Home and friends I can ne'er forget, And I mean to be a master yet."" And that is what he did. On his ret...",493,neutral,0.4214123487472534,admiration,0.3559003472328186,joy,0.9066431522369385
"""Something""",4,"Yes, this also was ""something."" And what about the genius of the family– the fourth brother– who wanted to invent something new and original? He tried...",502,sadness,0.3586304783821106,curiosity,0.33364126086235046,sadness,0.44803157448768616
"""Something""",5,"""It would be only through mercy that I can be allowed to slip in through the gate."" ""In what manner did you leave the world?"" he asked, just for the s...",501,fear,0.9241502285003662,sadness,0.38157016038894653,fear,0.6577473282814026
